idwine	name	link	thumb	average_rating	ratings	price	tasteKeywords_1	tasteMentions_1	flavorGroup_1	tasteKeywords_2	tasteMentions_2	flavorGroup_2	tasteKeywords_3	tasteMentions_3	flavorGroup_3	tasteKeywords_4	tasteMentions_4	flavorGroup_4	moyenne_price	tasteKeywords_5	tasteMentions_5	flavorGroup_5	tasteKeywords_6	tasteMentions_6	flavorGroup_6	tasteKeywords_7	tasteMentions_7	flavorGroup_7	tasteKeywords_8	tasteMentions_8	flavorGroup_8	tasteKeywords_9	tasteMentions_9	flavorGroup_9	tasteKeywords_10	tasteMentions_10	flavorGroup_10
111495	Château Duhart-Milon Pauillac (Grand Cru Classé)	https://www.vivino.com/GB/fr/wines/1500807	https://images.vivino.com/thumbs/76TS7V9QTk-BnlSm4K-1UQ_pb_300x300.png	4,3		69	chêne, tabac, cèdre	1634	boisé	cassis, cassis, mûre	1500	fruit noir	cuir, Terreux, fumée	1455	Terreux																						
111496	Château Prieuré-Lichine Margaux (Grand Cru Classé)	https://www.vivino.com/DE/fr/wines/1536962	https://images.vivino.com/thumbs/GsJpF4CYRs6XOy1eJKQVyQ_pb_300x300.png	4,2		44,46	chêne, tabac, cèdre	1480	boisé	mûre, cassis, cassis	1424	fruit noir	cuir, Terreux, fumée	1209	Terreux																						
111494	E. Guigal Châteauneuf-du-Pape	https://www.vivino.com/US-NY/fr/wines/1495119	https://images.vivino.com/thumbs/0nET3qrdRJWh66liEogTSQ_pb_300x300.png	4,1		53,49	cuir, Terreux, fumée	1019	Terreux	chêne, tabac, vanille	970	boisé	prune, mûre, fruit noir	913	fruit noir	cerise, framboise, frui...	715	fruit rouge																			
111497	Deutz Classic Brut Champagne	https://www.vivino.com/CA/fr/wines/164942773	https://images.vivino.com/thumbs/FGf5vHDwSESGx1uMaBcOzQ_pb_300x300.png	4,1		49,99	pomme, pomme verte, poi...	1711	fruit d'arbre fruitier	agrume, citron, pamplem...	1317	agrume	brioche, pain grillé, a...	1298	Vieillissement																						
111493	Perrier-Jouët Belle Epoque Brut Champagne	https://www.vivino.com/US-NY/fr/wines/1517638	https://images.vivino.com/thumbs/pVjdFNdWTJCrHAA368zv-w_pb_300x300.png	4,5		249,99	pomme, poire, pomme ver...	1321	fruit d'arbre fruitier	brioche, pain grillé, a...	1002	Vieillissement	agrume, citron, pamplem...	903	agrume	miel, minéraux, noyau	681	Terreux																			
111498	Château Haut-Marbuzet Saint-Estèphe	https://www.vivino.com/US-VA/fr/wines/1855418	https://images.vivino.com/thumbs/gbS3MXGxTSe2CSad0bcueQ_pb_300x300.png	4,2		76,64	chêne, tabac, cèdre	531	boisé	cassis, fruit noir, cas...	513	fruit noir	cuir, Terreux, fumée	467	Terreux																						
111499	Château Branaire-Ducru Saint-Julien (Grand Cru Classé)	https://www.vivino.com/US-VA/fr/wines/1558871	https://images.vivino.com/thumbs/IjUco-lhQ2Gt-pmFt84ZPw_pb_300x300.png	4,1		64,85	chêne, tabac, vanille	1951	boisé	cassis, mûre, cassis	1864	fruit noir	cuir, Terreux, fumée	1402	Terreux																						
111501	Ropiteau Freres Les Plants Nobles Pinot Noir	https://www.vivino.com/US-NY/fr/wines/2153835	https://images.vivino.com/thumbs/Hx6dpufaR3qFaeL40-zNdA_pb_300x300.png	3,6			cerise, framboise, frai...	576	fruit rouge										10,05																		
111502	Maison Saint Aix AIX Rosé	https://www.vivino.com/US-NY/fr/wines/4791219	https://images.vivino.com/thumbs/ARJgd09SQVyL5yQSgZH7Tg_pb_300x300.png	4		25,64	fraise, framboise, past...	1448	fruit rouge	melon, pêche, pomme	737	fruit d'arbre fruitier																									
111500	Château du Tertre Margaux (Grand Cru Classé)	https://www.vivino.com/US-NY/fr/wines/1509827	https://images.vivino.com/thumbs/AueThUKBTJanmDyWnzkHfQ_pb_300x300.png	4,2		63,76	chêne, tabac, vanille	1388	boisé	mûre, fruit noir, prune	1272	fruit noir	cuir, Terreux, fumée	1183	Terreux																						
111503	La Vieille Ferme Blanc	https://www.vivino.com/US-VA/fr/wines/1504427	https://images.vivino.com/thumbs/bis5QT3FRLWUqlHrzuvxJQ_pb_300x300.png	3,5		14,62	pomme verte, pomme, pêc...	727	fruit d'arbre fruitier	agrume, citron, pamplem...	573	agrume	cerise, fraise, fruit r...	371	fruit rouge																						
111505	Château Léoville Las Cases Château du Grand Parc Saint-Julien	https://www.vivino.com/DE/fr/wines/1938926	https://images.vivino.com/thumbs/gMzmFYX9Q-iwAqaFujWNgw_375x500.jpg	4			champignon	1	Terreux	chocolat au lait	1	boisé																									
111504	Château Larose-Trintaudon Haut-Médoc	https://www.vivino.com/wines/1518143	https://images.vivino.com/thumbs/qgGXhX6eTI2u2qRVBJbdSw_pb_300x300.png	3,9			chêne, vanille, tabac	999	boisé	mûre, cassis, cassis	939	fruit noir	cuir, Terreux, fumée	697	Terreux				17																		
111507	Veuve Clicquot La Grande Dame Brut Champagne	https://www.vivino.com/BR/fr/wines/1513886	https://images.vivino.com/thumbs/XRbzL1s9Q_qZwnGZwPXnNA_pb_300x300.png	4,5			brioche, pain grillé, a...	1071	Vieillissement	pomme, poire, abricot	1053	fruit d'arbre fruitier	miel, minéraux, noyau	726	Terreux	agrume, citron, pamplem...	671	agrume	764,99																		
111510	Union de Producteurs de Saint-Émilion Saint-Émilion Grand Cru	https://www.vivino.com/US-NY/fr/wines/4826285	https://images.vivino.com/thumbs/8jZjt_ZPTtiL9ex1qqQnPw_pb_300x300.png	3,7			chêne, tabac, chocolat	554	boisé	prune, cassis, fruit no...	444	fruit noir							16,99																		
111506	Domaine du Tariquet Côtes de Gascogne Premières Grives	https://www.vivino.com/DE/fr/wines/2038243	https://images.vivino.com/thumbs/uVAKhiTLQZq9TcrJEEWVcg_pb_300x300.png	4,1		11	poire, abricot, pomme	382	fruit d'arbre fruitier	miel, minéraux, noyau	226	Terreux																									
